shopno,utilization_ratio,portability_rate,rice_per_card,trans_volatility,latitude,longitude,distname,distcode,cluster,dbscan_cluster
2922016,0.8715856898850959,0.1407491793406278,23.39157197841812,3.732760042776093,18.183738,78.036784,Kamareddy,926,4,0
2922017,0.6951344411205043,0.30998420881827526,23.042790210824737,26.489378854896284,18.165072,78.022137,Kamareddy,926,4,0
2922018,0.7978839405501902,0.20446120341474602,24.357258658086074,7.511895328648518,18.146733,78.015688,Kamareddy,926,4,0
2922019,0.7646224090479374,0.24564320291099534,22.99592157624468,11.61386126139858,18.148865,78.036318,Kamareddy,926,4,0
2922020,0.8903354012801181,0.11133632689784977,22.6783318312743,49.33393799833585,18.142566,78.01169,Kamareddy,926,4,0
2922021,0.7856726752787832,0.21691409731440878,24.03758806105866,40.08998499066475,18.228868,78.028885,Kamareddy,926,4,0
2922022,0.8994433440371551,0.10157861451800282,24.629757179613453,12.957395134437736,18.228196,78.056408,Kamareddy,926,4,0
2922023,0.9071274635783987,0.09935888338945292,22.867242730017857,23.7312020500209,18.167294,78.044227,Kamareddy,926,4,0
2922024,0.6991706341036831,0.30702709321104205,22.55452559621296,13.908037156153483,18.246476,78.054608,Kamareddy,926,4,0
2922025,0.9632721802732136,0.039814376548410094,20.02634711048534,17.803317895235647,18.24399,77.971983,Kamareddy,926,0,0
2922026,0.7867083639279773,0.21730818304837743,22.08250599625036,13.483067286351297,18.128976,78.008487,Kamareddy,926,4,0
2922027,0.8080657169978224,0.194622847375798,22.78413091680366,4.020268843790761,18.204317,78.053457,Kamareddy,926,4,0
2922028,0.913120393341538,0.08799040571487249,23.30831104405868,8.588714097710833,18.134508,77.992674,Kamareddy,926,4,0
2922029,0.8633993975700508,0.1455876379770899,22.760961591035002,12.416221710985784,18.276413,78.004548,Kamareddy,926,4,0
2922030,0.9250545508127674,0.07631580551794095,22.890220667970844,12.976390079964034,18.28554,78.003488,Kamareddy,926,4,0
3001001,0.9091362488568747,0.09156877540512957,17.276705918577406,25.164630350745373,17.821451,80.828985,Bhadrdri Kothagudem,927,0,0
3001002,0.899688846079117,0.10141945031706476,19.372400874766708,10.525128271102103,17.9016,80.87149,Bhadrdri Kothagudem,927,0,0
3001003,0.9678279091086142,0.03408236762034515,19.289671671508763,16.305277334823774,17.842561,80.84572,Bhadrdri Kothagudem,927,0,0
3001004,0.8801757387871854,0.12169235019874497,19.48834661850056,13.646757495749053,17.753261,80.852336,Bhadrdri Kothagudem,927,0,0
3001005,0.9480063696376873,0.054040283485673024,17.465833281129655,23.618895332948348,17.861854,80.829018,Bhadrdri Kothagudem,927,0,0
3001006,0.9299779315081846,0.07221785692920685,16.81596195860957,10.597889928469755,17.796916,80.842742,Bhadrdri Kothagudem,927,0,0
3001007,0.9396517062182398,0.06091815429873204,17.668003033574806,40.82508043002763,17.767523,80.837206,Bhadrdri Kothagudem,927,0,0
3001008,0.7516235945627353,0.24871536725022592,16.382368485414187,43.74486599010919,17.768306,80.834988,Bhadrdri Kothagudem,927,0,0
3001009,0.8728859310066148,0.1288298140381231,17.66940778263879,24.29006770601025,17.884765,80.830068,Bhadrdri Kothagudem,927,0,0
3001010,0.9374333884236695,0.06629347626781112,17.752852781331935,14.24936261646005,17.821355,80.846968,Bhadrdri Kothagudem,927,0,0
3001011,0.9056562077821869,0.09740352933976724,21.303180718454406,19.75452807106119,17.771606,80.788798,Bhadrdri Kothagudem,927,4,0
3001012,0.9301550436559746,0.0701784112520507,19.83775607611574,11.037776601982427,17.865883,80.864354,Bhadrdri Kothagudem,927,0,0
3001013,0.9694412537540387,0.03155232836242792,18.58962664963899,17.895495759349803,17.818771,80.793469,Bhadrdri Kothagudem,927,0,0
3001014,0.8678806961151067,0.13313529399692747,18.194960560819478,66.5218027890512,17.837358,80.826257,Bhadrdri Kothagudem,927,0,0
3001015,0.9567085641777289,0.04367270339851922,15.602875519239433,6.374788705085279,17.765688,80.85785,Bhadrdri Kothagudem,927,0,0
3001016,0.931026668445279,0.06950043822185409,19.016800315227975,23.583412388826975,17.761461,80.775816,Bhadrdri Kothagudem,927,0,0
3002001,0.6241282822703341,0.37604243239712426,19.372116169405707,56.8504433263624,17.250166,81.134325,Bhadrdri Kothagudem,927,3,0
3002002,0.6284698929097357,0.3721665894571724,19.170432627343104,41.892102786349504,17.242707,81.132867,Bhadrdri Kothagudem,927,3,0
3002003,0.7037505897359494,0.2981001376953293,19.45195823191162,26.943198781717314,17.245719,81.133544,Bhadrdri Kothagudem,927,3,0
3002004,0.497443405892176,0.5028244690659179,19.678218044045934,36.098694762370556,17.244454,81.134417,Bhadrdri Kothagudem,927,3,0
3002005,0.6360574405711318,0.3641967534674205,19.201323421102714,68.61459796710315,17.24254,81.129491,Bhadrdri Kothagudem,927,3,0
3002006,0.9828685807317703,0.019566763620666096,18.697543821553428,10.04104875491212,17.305155,81.078284,Bhadrdri Kothagudem,927,0,0
3002007,0.9655941293323286,0.03543966085929913,17.913380516071904,27.561083079091997,17.261598,81.083129,Bhadrdri Kothagudem,927,0,0
3002008,0.8789998412712516,0.12350351615045844,17.6032299543641,23.473913830928836,17.272618,81.046314,Bhadrdri Kothagudem,927,0,0
3002009,0.9408099969411393,0.060277493946471916,18.949517201478066,18.550954989824184,17.388286,81.112684,Bhadrdri Kothagudem,927,0,0
3002010,0.8812440899188008,0.11910582095832836,19.371560197821715,14.029262170347197,17.380811,81.088478,Bhadrdri Kothagudem,927,0,0
3002011,0.9577929660798291,0.05150892061246135,18.73315908926096,37.374090759489036,17.428735,81.173923,Bhadrdri Kothagudem,927,0,0
3002012,0.9597776156405851,0.04106996409217418,17.988982598453934,8.863635789497843,17.359063,81.193768,Bhadrdri Kothagudem,927,0,0
3002013,0.9664068779252224,0.034802116371638124,17.975593532210397,12.524262168173529,17.29222,81.11525,Bhadrdri Kothagudem,927,0,0
3002014,0.8976103394122172,0.10301989217043282,18.915997134686876,44.430939382194445,17.347069,80.959082,Bhadrdri Kothagudem,927,0,0
3002015,0.9607788322370572,0.03967182050855281,18.240909533638167,15.165101238254309,17.388244,81.155748,Bhadrdri Kothagudem,927,0,0
3002016,0.9477668928690574,0.052482253943498376,21.644569562916192,16.81337726848516,17.414222,81.179073,Bhadrdri Kothagudem,927,4,0
3002017,0.975151411460471,0.026291301287403254,19.620797432894893,10.41999782532621,17.380385,81.06583,Bhadrdri Kothagudem,927,0,0
3002018,0.9777370312666704,0.023979064674710844,20.160126074524246,21.528478103621904,17.456392,81.129744,Bhadrdri Kothagudem,927,0,0
3002019,1.0047387284959106,0.0,18.603791914708154,12.708265027138854,17.37481,81.26347,Bhadrdri Kothagudem,927,0,0
3002020,0.9858909516914672,0.014607009648462899,17.873656579155544,13.187918041374456,17.369618,81.198791,Bhadrdri Kothagudem,927,0,0
3002021,1.000969829387874,0.0,18.54561483625703,4.2562616868324765,17.40352,81.08825,Bhadrdri Kothagudem,927,0,0
3002023,0.9602784022476224,0.04112387168713088,28.96138138258122,8.266646141189623,17.398841,81.036309,Bhadrdri Kothagudem,927,4,0
3002024,1.0006763925729443,0.0,19.865392538259645,1.2960721259501815,17.46108,81.05916,Bhadrdri Kothagudem,927,0,0
3002025,1.0,0.0,17.41783202783225,1.9520104578577944,17.33119,81.18843,Bhadrdri Kothagudem,927,0,0
3002026,0.05064858719813941,0.9493514128018605,19.622820348355418,3.2506157052248112,17.250136,81.134306,Bhadrdri Kothagudem,927,2,0
3003001,0.12500378513618302,0.8750817235689996,18.146112430444965,35.9161928161093,17.668184,80.887842,Bhadrdri Kothagudem,927,2,0
3003004,0.3198933687997475,0.6806668363266233,18.276459466662995,25.716721285859542,17.663684,80.886105,Bhadrdri Kothagudem,927,3,0
3003005,0.3571851512243561,0.6436739399300807,19.41015991993179,19.787417009836894,17.667554,80.894854,Bhadrdri Kothagudem,927,3,0
3003006,0.3789831879608471,0.6213179894233332,17.91320290056257,46.17697270157252,17.664456,80.88719,Bhadrdri Kothagudem,927,3,0
3003007,0.43940506756790754,0.5608535788194722,18.350053750092698,25.454295949132227,17.663486,80.891464,Bhadrdri Kothagudem,927,3,0
3003008,0.2513927968222129,0.748691049691047,18.608160772243075,40.360505984808405,17.668223,80.887946,Bhadrdri Kothagudem,927,2,0
3003009,0.12153590838438226,0.8784869500156713,19.21639516050872,122.16343127502068,17.672711,80.89627,Bhadrdri Kothagudem,927,2,0
3003010,0.26607075824850124,0.7340218312744573,19.722430165019365,59.30045813461621,17.673117,80.896968,Bhadrdri Kothagudem,927,2,0
3003011,0.11938750093060885,0.8807427515412274,19.475081845383606,74.5090499346723,17.667906,80.8998,Bhadrdri Kothagudem,927,2,0
3003012,0.3175697670941761,0.6826004494284802,19.162386180226118,43.9937859472272,17.668449,80.901117,Bhadrdri Kothagudem,927,2,0
3003013,0.3137019937324828,0.686925265969272,22.722728775101494,82.83356212778928,17.672893,80.896551,Bhadrdri Kothagudem,927,2,0
3003014,0.18639467782234795,0.8137826817396923,21.115882779956156,65.24629351721055,17.66794,80.89981,Bhadrdri Kothagudem,927,2,0
3003015,0.2424188098098639,0.7578803597413203,19.107298587833373,64.38255431786324,17.671307,80.898534,Bhadrdri Kothagudem,927,2,0
3003016,0.21724582817369834,0.782837473356448,18.746231354480706,24.85544414103832,17.666503,80.890099,Bhadrdri Kothagudem,927,2,0
3003017,0.07772805801497819,0.9223014880592657,20.73471690635351,79.20205500642884,17.670769,80.899827,Bhadrdri Kothagudem,927,2,0
3003018,0.2371827839277662,0.7628754760919201,18.924376548350587,16.93343967746498,17.668493,80.892134,Bhadrdri Kothagudem,927,2,0
3003019,0.18309433719651294,0.8169775731831245,17.892083509597636,67.58308151012308,17.672712,80.896188,Bhadrdri Kothagudem,927,2,0
3003020,0.3097371046472807,0.6909945190323754,18.476587621884665,68.87341140113183,17.67054,80.897167,Bhadrdri Kothagudem,927,2,0
3003021,0.16421686865642607,0.8358395079107727,18.61823618078756,99.72638676272575,17.670819,80.899864,Bhadrdri Kothagudem,927,2,0
3003022,0.21119836687306193,0.788950944347333,18.38224223724015,52.717085778757976,17.672673,80.896135,Bhadrdri Kothagudem,927,2,0
3003023,0.4134271225797247,0.5872277328448599,20.357136632857085,40.728253588806,17.665455,80.895403,Bhadrdri Kothagudem,927,3,0
